nohup: ignoring input
Loading event catalog from data/events/koeri_catalog.txt...
Loaded 160 events
Location bounds:
  Latitude: [40.0067, 41.3648]
  Longitude: [26.0170, 29.5157]
  Depth: [0.0000, 24.3510] km
Found 644 mseed files
Found 125 unique stations
Starting Full Covariance Experiment - Latent Dim: 128
Epoch 1/100 - Loss: 116460.5618
Epoch 2/100 - Loss: 78423.6316
Epoch 3/100 - Loss: 59180.9283
Epoch 4/100 - Loss: 48147.0979
Epoch 5/100 - Loss: 40452.7347
Epoch 6/100 - Loss: 34562.4803
Epoch 7/100 - Loss: 29974.3207
Epoch 8/100 - Loss: 26372.1497
Epoch 9/100 - Loss: 23667.8006
Epoch 10/100 - Loss: 20979.0918
Epoch 11/100 - Loss: 18763.3283
Epoch 12/100 - Loss: 17022.2162
Epoch 13/100 - Loss: 15755.7970
Epoch 14/100 - Loss: 14249.4136
Epoch 15/100 - Loss: 13131.9959
Epoch 16/100 - Loss: 12095.6722
Epoch 17/100 - Loss: 11251.5594
Epoch 18/100 - Loss: 10590.1617
Epoch 19/100 - Loss: 9987.1748
Epoch 20/100 - Loss: 9334.3984
Epoch 21/100 - Loss: 8926.0889
Epoch 22/100 - Loss: 8379.2151
Epoch 23/100 - Loss: 7894.1380
Epoch 24/100 - Loss: 7582.8077
Epoch 25/100 - Loss: 7252.1916
Epoch 26/100 - Loss: 6886.2336
Epoch 27/100 - Loss: 6642.7851
Epoch 28/100 - Loss: 6330.8509
Epoch 29/100 - Loss: 6072.9469
Epoch 30/100 - Loss: 5764.2909
Epoch 31/100 - Loss: 5571.7587
Epoch 32/100 - Loss: 5351.8099
Epoch 33/100 - Loss: 5247.8183
Epoch 34/100 - Loss: 5093.2639
Epoch 35/100 - Loss: 4909.6460
Epoch 36/100 - Loss: 4724.4560
Epoch 37/100 - Loss: 4597.4374
Epoch 38/100 - Loss: 4494.7144
Epoch 39/100 - Loss: 4386.9038
Epoch 40/100 - Loss: 4240.6896
Epoch 41/100 - Loss: 4133.8306
Epoch 42/100 - Loss: 4054.8456
Epoch 43/100 - Loss: 3918.9542
Epoch 44/100 - Loss: 3848.9206
Epoch 45/100 - Loss: 3747.2373
Epoch 46/100 - Loss: 3665.2180
Epoch 47/100 - Loss: 3646.7845
Epoch 48/100 - Loss: 3563.5466
Epoch 49/100 - Loss: 3543.7571
Epoch 50/100 - Loss: 3421.6903
Epoch 51/100 - Loss: 3396.7595
Epoch 52/100 - Loss: 3287.1079
Epoch 53/100 - Loss: 3314.2028
Epoch 54/100 - Loss: 3220.4321
Epoch 55/100 - Loss: 3170.1093
Epoch 56/100 - Loss: 3117.0007
Epoch 57/100 - Loss: 3096.9107
Epoch 58/100 - Loss: 3067.0812
Epoch 59/100 - Loss: 3014.8485
Epoch 60/100 - Loss: 2971.3357
Epoch 61/100 - Loss: 2921.4339
Epoch 62/100 - Loss: 2887.9648
Epoch 63/100 - Loss: 2871.5557
Epoch 64/100 - Loss: 2820.9023
Epoch 65/100 - Loss: 2818.3626
Epoch 66/100 - Loss: 2810.3474
Epoch 67/100 - Loss: 2785.3554
Epoch 68/100 - Loss: 2788.4060
Epoch 69/100 - Loss: 2703.9853
Epoch 70/100 - Loss: 2676.1723
Epoch 71/100 - Loss: 2663.6095
Epoch 72/100 - Loss: 2652.5241
Epoch 73/100 - Loss: 2682.8211
Epoch 74/100 - Loss: 2654.2651
Epoch 75/100 - Loss: 2610.5688
Epoch 76/100 - Loss: 2582.0433
Epoch 77/100 - Loss: 2542.8636
Epoch 78/100 - Loss: 2543.8160
Epoch 79/100 - Loss: 2572.7113
Epoch 80/100 - Loss: 2559.5421
Epoch 81/100 - Loss: 2507.6164
Epoch 82/100 - Loss: 2499.2687
Epoch 83/100 - Loss: 2475.8851
Epoch 84/100 - Loss: 2474.8295
Epoch 85/100 - Loss: 2465.4249
Epoch 86/100 - Loss: 2489.5326
Epoch 87/100 - Loss: 2440.9838
Epoch 88/100 - Loss: 2388.1971
Epoch 89/100 - Loss: 2389.9851
Epoch 90/100 - Loss: 2378.5723
Epoch 91/100 - Loss: 2365.7627
Epoch 92/100 - Loss: 2380.5831
Epoch 93/100 - Loss: 2398.7653
Epoch 94/100 - Loss: 2451.2691
Epoch 95/100 - Loss: 2377.0183
Epoch 96/100 - Loss: 2330.8362
Epoch 97/100 - Loss: 2324.4358
Epoch 98/100 - Loss: 2268.7526
Epoch 99/100 - Loss: 2286.8323
Epoch 100/100 - Loss: 2294.2522
Model saved to checkpoints_full_cov/koeri_catalog/full_cov_cvae_best.pt
