epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl,epoch_seconds
1,110979.91995833334,109870.63833333334,11092.815948567708,39849.781416223406,39135.997797539894,7137.836482920545,18.03639245033264
2,30134.600677083334,29459.972994791668,6746.2763359375,22551.68689744016,21872.529359208776,6791.574390167885,15.958194971084595
3,20239.52300520833,19546.518322916665,6930.046989583333,17789.358034823803,17100.492135555185,6888.659127742686,16.279731512069702
4,17259.338619791666,16560.350356770832,6989.882309895834,15906.541670129654,15212.009433178191,6945.322333153258,16.365004062652588
5,15878.666848958334,15170.297450520833,7083.6939765625,14714.707903922872,13999.946798121675,7147.610756732048,15.76675820350647
6,14708.451598958334,13977.109580729166,7313.42025390625,13760.672519115691,13030.873067652925,7297.994961353059,16.32340908050537
7,14032.449450520833,13290.500065104166,7419.493838541666,13493.75746966423,12745.578924950132,7481.785182222407,16.132805824279785
8,13658.031359375,12902.410263020833,7556.211,13037.750841505984,12276.644635139628,7611.062505194482,16.03886842727661
9,13327.567606770834,12562.184515625,7653.8309453125,12827.53759765625,12050.080628740026,7774.569606050532,16.10164999961853
10,13093.861794270833,12317.629,7762.3277799479165,12619.079859956782,11850.220682347075,7688.592041015625,16.021085023880005
11,12904.09375,12120.0666796875,7840.270537760417,12429.627794630984,11657.129529587766,7724.982863405918,16.383524179458618
12,12757.059411458333,11964.164276041667,7928.95116796875,12325.002088181516,11553.63352933843,7713.685832571476,15.97132420539856
13,12627.674479166666,11827.033520833333,8006.4095234375,12139.79946185173,11336.475274268618,8033.241652468418,15.51460075378418
14,12537.668572916667,11729.108526041668,8085.600470052083,12065.79931640625,11263.21909283577,8025.802677235705,16.16661286354065
15,12478.947078125,11663.509908854166,8154.3716953125,12121.875436336437,11310.420462101063,8114.54961768617,16.27835988998413
16,12388.170966145834,11567.096260416667,8210.747184895834,11900.209347988697,11111.39313912899,7888.162337932181,15.697214841842651
17,12337.242130208333,11510.942479166666,8262.9966171875,11931.22682222407,11116.005776263299,8152.210501163564,16.04987859725952
18,12270.60921875,11440.598138020834,8300.110915364583,11913.111951462766,11091.911252285572,8212.00683074302,16.737264394760132
19,12250.932653645834,11416.9455390625,8339.871291666666,11836.71014793883,11015.111546293218,8215.98591776097,17.1074161529541
20,12199.874739583332,11362.100078125,8377.746563802084,11940.094279837102,11118.73527883976,8213.589973612035,16.12901020050049
