epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl,epoch_seconds
1,358.98132988659046,347.71928173070336,112.6204774807661,201.4010651952071,191.20548133026782,101.95583681065402,63.95398163795471
2,200.0734949699673,189.650955159011,104.2253973888375,190.1728031240779,179.60633583892164,105.6646720556904,61.455111026763916
3,191.78080293738623,181.1756327736769,106.0517016199329,185.4452178735527,174.5085091899625,109.36708631446893,62.36170530319214
4,188.02255682831566,177.34592475153227,106.76632014320501,182.21732854500092,171.33888700197068,108.78441758464567,61.438464879989624
5,186.04489301165856,175.35154232654924,106.93350818615157,180.45810449723717,169.59565054255424,108.62453932727841,60.889986753463745
6,184.41016955253406,173.7361677189534,106.74001762880917,179.89955734692032,169.13563175338635,107.63925376727427,60.45603060722351
7,183.40884833908595,172.7603411209031,106.48507135127828,177.87668472399815,167.48770114157696,103.88983670241541,60.93448567390442
8,182.44624049932744,171.83816550971687,106.08075007113904,177.85145796631738,167.1727480991281,106.78709846606357,59.810219049453735
9,181.608315142221,171.04105283502946,105.67262269096014,177.2290813253938,166.7418513400949,104.87229966088165,60.8545618057251
10,181.10907980455133,170.5837530358332,105.25326746066733,176.56385575438574,166.14604280320862,104.17813022531193,60.487499952316284
11,180.63880890208324,170.1417933715875,104.97015507157944,176.05933262118333,165.6385545524762,104.20778223764982,61.65696620941162
12,180.1918296590883,169.73320057431803,104.58628984555112,175.78715334007208,165.62600589999192,101.61147504573246,60.974637269973755
13,179.76517714802017,169.3489346317595,104.16242394423732,175.93007703822295,165.5484630941487,103.81614196557793,61.887338399887085
14,179.39551241827934,169.0171163939057,103.78396112576723,175.47478435708464,165.33598489555524,101.38799856721069,61.55132031440735
15,179.09385134087347,168.7356394751888,103.58211908928189,175.31342436426834,165.16310635573572,101.50318189662137,60.14458703994751
16,178.7632433178722,168.4392421446134,103.24001139281732,175.3832659000973,164.91587711581224,104.67389054607145,65.58011984825134
17,178.63389100054604,168.33817706878153,102.95713921468429,175.58916432222875,165.24030561927412,103.48858641205932,61.92341446876526
18,178.3069154616685,168.02801194493426,102.7890364577842,174.81742342942053,164.64863386085565,101.68789165140056,60.126665115356445
19,178.09869038130967,167.83773498947,102.60955206853444,176.05103197715266,165.97191438743536,100.79117783196538,61.56243419647217
20,177.91662477535328,167.67445831367468,102.42166422553498,174.69679411195165,164.59494059720484,101.01853391249402,60.34178376197815
21,177.6994765089055,167.4725863053034,102.2689018953077,174.66265660567248,164.34765078867082,103.15005932265906,59.44860243797302
22,177.49594722306787,167.28202878168668,102.13918453736505,174.6533969357717,164.60458382256596,100.48813173582228,60.271655321121216
23,177.31891309812806,167.11508397674217,102.03829148842095,174.6193978563487,164.81170805238133,98.07689952164245,60.6787805557251
24,177.17962096673756,166.98345995313994,101.96161177648492,174.48868654100158,164.4662788446001,100.22407397263342,60.522990226745605
25,177.0109937824862,166.82746154126207,101.83532373700332,174.62107286521857,164.37942074014128,102.41652002952081,60.91119885444641
26,176.87203667177792,166.6970207567854,101.75016017953287,174.94597222307604,164.78973986948137,101.56232422204326,60.49428129196167
27,176.79003325551145,166.6202516680197,101.69781487962977,174.1770863155667,164.08127368954445,100.9581275226401,60.35092878341675
28,176.55471227236606,166.39427830279544,101.60433981925907,174.15399611768106,164.04333924218048,101.10656849428904,60.30423021316528
29,176.51357476238297,166.3628187089475,101.5075605000347,174.2398515879679,164.3079425345222,99.31909131660736,60.729679584503174
30,176.3532202304938,166.20701785823326,101.46202266210915,174.31919852606686,164.26961849404753,100.49580331157438,62.92398262023926
