offdiag_feature,metric,pearson,spearman
mean_abs_corr_offdiag,ssim,-0.3450594277521144,-0.3940066592674805
mean_abs_corr_offdiag,lsd,-0.46571571500410874,-0.47810125501579437
mean_abs_corr_offdiag,sc,-0.3028325145158039,-0.3034235464868095
mean_abs_corr_offdiag,s_corr,-0.11815888135720079,-0.14915051652010586
mean_abs_corr_offdiag,sta_lta_err,-0.15605685392280522,-0.15589515922479297
mean_abs_corr_offdiag,mr_lsd,-0.558618687751334,-0.5680013660035856
mean_abs_corr_offdiag,arias_err,-0.22787984726922414,-0.26030905831127804
mean_abs_corr_offdiag,env_corr,-0.09297994843536594,-0.08332621873132416
mean_abs_corr_offdiag,dtw,0.14619521247673994,0.21164518056859902
mean_abs_corr_offdiag,xcorr,0.05575445292427485,0.08102108768035517
p95_abs_corr_offdiag,ssim,-0.2819061781038103,-0.31187569367369583
p95_abs_corr_offdiag,lsd,-0.3794754819702083,-0.3799197472893366
p95_abs_corr_offdiag,sc,-0.3011349185034934,-0.29352002049005377
p95_abs_corr_offdiag,s_corr,-0.11290517979661889,-0.1622983010330402
p95_abs_corr_offdiag,sta_lta_err,-0.2083146157623244,-0.239477503628447
p95_abs_corr_offdiag,mr_lsd,-0.4815117029076467,-0.4820285153248527
p95_abs_corr_offdiag,arias_err,-0.20390341304147178,-0.21096217877571927
p95_abs_corr_offdiag,env_corr,-0.12707715578573275,-0.07683770169896696
p95_abs_corr_offdiag,dtw,0.12404614426018407,0.17399470673610518
p95_abs_corr_offdiag,xcorr,0.06049827478165393,0.09331511995218987
max_abs_corr_offdiag,ssim,-0.1605708101368858,-0.13890548962691027
max_abs_corr_offdiag,lsd,-0.5413903612512662,-0.5704772475027747
max_abs_corr_offdiag,sc,-0.3011797499142205,-0.26312644070690683
max_abs_corr_offdiag,s_corr,-0.21037506563246297,-0.06710492615043115
max_abs_corr_offdiag,sta_lta_err,-0.2531153121570796,-0.4408776573038504
max_abs_corr_offdiag,mr_lsd,-0.5210253244845457,-0.5571587125416203
max_abs_corr_offdiag,arias_err,-0.008973192870754895,0.0276615726116281
max_abs_corr_offdiag,env_corr,-0.12847101879104555,-0.06590967301289165
max_abs_corr_offdiag,dtw,0.021464619918494663,-0.0825578417143345
max_abs_corr_offdiag,xcorr,0.016054752207338773,0.017075044821992656
offdiag_energy_ratio,ssim,-0.2970093309728578,-0.35003841885084946
offdiag_energy_ratio,lsd,-0.484347567990555,-0.4857850251856911
offdiag_energy_ratio,sc,-0.29185782806083366,-0.3144369503969948
offdiag_energy_ratio,s_corr,-0.07062308852685811,-0.13344147528387262
offdiag_energy_ratio,sta_lta_err,-0.20945368765334085,-0.22265858447878425
offdiag_energy_ratio,mr_lsd,-0.5791745907660096,-0.5830274054469393
offdiag_energy_ratio,arias_err,-0.21859847039931415,-0.23614786988815845
offdiag_energy_ratio,env_corr,-0.11593624213218638,-0.10919491163664305
offdiag_energy_ratio,dtw,0.12110012033895783,0.17664133868351406
offdiag_energy_ratio,xcorr,0.04671982305685691,0.05011525655254845
