epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl,epoch_seconds
1,125145.27115625,123665.82154166666,14794.498107096355,42401.51778590425,41137.17370345745,12643.44028424202,19.80978560447693
2,33289.58713541667,32117.79311458333,11717.94,23743.064349235374,22556.605302526597,11864.588815242687,17.27514886856079
3,21804.713817708332,20715.740604166665,10889.732940104166,18752.20477684508,17708.152956698803,10440.51806640625,16.24863028526306
4,17947.534671875,16896.8854765625,10506.4916171875,16141.891144448138,15110.161413314494,10317.297768450799,16.745439767837524
5,16191.145390625,15160.324098958334,10308.2128203125,15132.625166223404,14137.366335605053,9952.588695769615,17.62654423713684
6,15208.240125,14194.20640625,10140.337268229167,14412.585127160904,13435.553284990026,9770.318577543218,18.169745683670044
7,14572.315627604166,13575.3793984375,9969.3622421875,13951.937333776596,12984.212651678856,9677.246800199468,17.318777322769165
8,14179.207463541667,13195.240166666666,9839.673013020833,13458.975783327793,12517.11167096077,9418.640708111701,17.06406879425049
9,13826.9829453125,12863.302692708334,9636.802716145834,13210.215581366356,12268.193951545878,9420.21665142952,16.716000080108643
10,13592.671700520834,12647.202265625,9454.694375,13044.241803108378,12111.884599401596,9323.572296791888,18.678548574447632
11,13417.3584453125,12485.235638020833,9321.227791666666,12900.397190824468,12018.72742478391,8816.697743517287,17.06172275543213
12,13233.305440104166,12313.629505208333,9196.759114583334,12662.032984956782,11757.737502077793,9042.954958651928,16.817641496658325
13,13073.497041666667,12159.850028645833,9136.470270833333,12526.192819148937,11624.059144365026,9021.336888090093,17.74766755104065
14,12907.5504296875,11993.589205729166,9139.612091145833,12443.411641871675,11544.738478640293,8986.731918010306,16.317176342010498
15,12766.992536458334,11856.034692708334,9109.578611979166,12270.123670212766,11390.39734665891,8797.263277094415,17.418586492538452
16,12669.513018229167,11758.572684895833,9109.403513020834,12126.50706449468,11239.073699301862,8874.334067486701,18.53291344642639
17,12575.329270833334,11665.542479166666,9097.867958333334,12046.122246924868,11154.243958818151,8918.783109624335,16.116294860839844
18,12491.577005208334,11584.619752604167,9069.5725078125,12041.66759474734,11155.272071351395,8863.955743018618,15.878695249557495
19,12420.796736979166,11516.274518229167,9045.2221171875,11950.051768201463,11047.514134183843,9025.376251870013,16.277044534683228
20,12380.054434895834,11475.126651041666,9049.2776875,11869.451213430852,10984.94212308843,8845.090191780253,16.55435824394226
