epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl,epoch_seconds
1,142302.10842708332,141191.81607291667,11102.92075764974,53999.74704953458,53345.909616023935,6538.373555934176,17.92546510696411
2,37523.19348958333,36878.108026041664,6450.855046875,26022.28663148271,25365.224526263297,6570.621561253324,17.600059986114502
3,22402.8554375,21728.048697916667,6748.067829427084,18658.469674617685,17956.68754155585,7017.821200756316,15.941874265670776
4,17799.427692708334,17091.9719921875,7074.556899739583,16203.210418051862,15463.736234624335,7394.741938164893,16.314884662628174
5,15710.497486979166,14981.140359375,7293.571123697917,14509.915818234707,13792.03466796875,7178.811497465093,16.314194202423096
6,14627.43709375,13889.386067708334,7380.5104934895835,13771.296864611037,13035.972188746675,7353.246182056184,16.9347026348114
7,14013.413744791667,13269.0595703125,7443.541776041667,13202.494223736701,12469.36635638298,7331.27862159242,16.462611436843872
8,13617.34315625,12870.832955729167,7465.102173177083,12996.830358626994,12255.23321143617,7415.971347240691,15.289865732192993
9,13363.055208333333,12611.40784375,7516.47344140625,12746.553399268618,12007.700880984043,7388.52497506649,16.36163330078125
10,13139.372752604168,12384.458375,7549.14349609375,12646.32782372008,11879.919298537234,7664.085059632646,16.735753536224365
11,12970.795986979167,12194.9733984375,7758.225696614583,12426.06471284907,11674.06084815492,7520.038828748337,16.978264093399048
12,12772.441903645833,11988.3277578125,7841.14154296875,12219.08191697141,11441.563196060506,7775.187562333776,16.777448177337646
13,12631.898481770833,11838.321166666667,7935.772852864583,12194.098279587766,11421.68686627327,7724.114325340758,15.960431814193726
14,12523.710510416666,11721.758544270833,8019.519756510416,12056.056962682846,11278.997132646276,7770.59829517121,17.377864599227905
15,12428.675630208334,11618.9697890625,8097.058494791667,11986.625519448138,11176.680419921875,8099.450803066822,16.275694131851196
16,12362.771708333334,11546.741244791667,8160.304609375,12027.046833444148,11226.27888131649,8007.679173246343,18.015050411224365
17,12308.586494791667,11488.074447916666,8205.12048828125,11882.03443941157,11072.354055851063,8096.803503158245,16.61666440963745
18,12258.702888020833,11433.171658854166,8255.312201822917,11837.80524850399,11001.924825465425,8358.804219996675,15.471899271011353
19,12205.429588541667,11376.8220078125,8286.075903645833,11820.275754238697,11011.476656000665,8087.990774601064,16.16132402420044
20,12164.648666666666,11333.385393229166,8312.632669270834,11722.844321392951,10905.607738738365,8172.365951213431,16.303295612335205
